Date,Open,High,Low,Volume,Adj Close,Close,,
9/30/2010,25,25.690001,24.049999,956400,24.629999,24.629999,,
10/1/2010,24.48,29.969999,24.049999,3060500,29.360001,29.360001,,
10/2/2010,28.6,29.1,27.33,1945300,28.040001,28.040001,,
10/3/2010,28.25,30.5,28.07,2729100,29.84,29.84,,
10/4/2010,30.219999,32.939999,30.219999,2622900,30.799999,30.799999,,
10/5/2010,31,31.4,28.42,1347600,29.67,29.67,,
10/6/2010,30.200001,30.75,28.610001,750000,29.49,29.49,,
10/7/2010,30.67,30.74,28.92,956100,29.889999,29.889999,,
10/8/2010,30.16,31.370001,29.700001,1150500,30.99,30.99,,
10/9/2010,31.57,33.450001,31.5,1529700,33.400002,33.400002,,
10/10/2010,33.290001,35.68,32.189999,1577800,34.57,34.57,,
10/11/2010,35.27,35.970001,34.330002,1425000,35.470001,35.470001,,
10/12/2010,35.599998,36,34.75,350600,35.32,35.32,,
10/13/2010,35.41,35.950001,33.330002,1145600,34.330002,34.330002,,
10/14/2010,33.740002,35.330002,33.41,2222600,35.330002,35.330002,,
10/15/2010,35.869999,36.419998,33.450001,1299200,34.349998,34.349998,,
10/16/2010,34.009998,34.299999,31.200001,2007000,32.349998,32.349998,,
10/17/2010,32.009998,32.25,30.870001,1160100,31.49,31.49,,
10/18/2010,31.35,31.450001,29.559999,1274400,30.309999,30.309999,,
10/19/2010,30.49,32.400002,30.049999,1311300,31.559999,31.559999,,
10/20/2010,32.48,32.490002,31.52,660000,32.369999,32.369999,,
10/21/2010,32.509998,32.720001,31.65,406000,32.049999,32.049999,,
10/22/2010,32.049999,32.919998,31.129999,429400,31.52,31.52,,
10/23/2010,31.639999,31.77,30.4,410400,30.549999,30.549999,,
10/24/2010,30.290001,30.389999,27.76,1765700,28.530001,28.530001,,
10/25/2010,28.67,29.969999,28.530001,742900,29.6,29.6,,
10/26/2010,30,30.91,29.65,790100,30.809999,30.809999,,
10/27/2010,31.34,31.540001,30.709999,813000,31.360001,31.360001,,
10/28/2010,31.639999,32.189999,31.26,523400,31.700001,31.700001,,
10/29/2010,31.799999,32.689999,31.709999,777700,32.259998,32.259998,,
10/30/2010,32.25,32.860001,31.700001,833300,32.630001,32.630001,,
10/31/2010,31.26,32.48,29.92,1552600,30.09,30.09,,
11/1/2010,28.02,28.58,25.059999,9301900,25.549999,25.549999,,
11/2/2010,25.85,26.75,25,4056300,26.41,26.41,,
11/3/2010,27.030001,28.01,26.5,3319200,27.73,27.73,,
11/4/2010,27.700001,27.9,26.379999,2041100,26.5,26.5,,
11/5/2010,26.57,27.25,26.5,1417900,26.629999,26.629999,,
11/6/2010,26.84,27,25.9,1283000,26.620001,26.620001,,
11/7/2010,26.66,26.950001,26.02,1187400,26.67,26.67,,
11/8/2010,26.48,26.9,26.190001,1446700,26.83,26.83,,
11/9/2010,26.83,28,26.809999,2061200,27.879999,27.879999,,
11/10/2010,28,28.58,27.9,2247900,28.24,28.24,,
11/11/2010,28.17,28.68,28.049999,1342700,28.450001,28.450001,,
11/12/2010,28.59,28.709999,26.92,1710200,26.959999,26.959999,,
11/13/2010,27.01,27.4,26.52,964400,26.959999,26.959999,,
11/14/2010,26.959999,26.969999,26.16,723600,26.219999,26.219999,,
11/15/2010,26.15,26.58,25.610001,1192000,25.75,25.75,,
11/16/2010,25.48,25.639999,24.75,1621700,25.639999,25.639999,,
11/17/2010,25.27,25.469999,23.75,2371500,24.030001,24.030001,,
11/18/2010,24.030001,24.450001,22.370001,2279900,22.620001,22.620001,,
11/19/2010,23.120001,23.59,22.709999,1217000,23.040001,23.040001,,
11/20/2010,23.530001,24.809999,23.23,1645100,24.49,24.49,,
11/21/2010,24.65,24.889999,24.02,1271500,24.68,24.68,,
11/22/2010,24.709999,24.879999,24.1,1079900,24.75,24.75,,
11/23/2010,24.74,25.08,24.530001,895700,24.92,24.92,,
11/24/2010,24.879999,24.879999,23.75,1048400,24.01,24.01,,
11/25/2010,24.049999,24.120001,23.5,830300,24.1,24.1,,
11/26/2010,24.309999,24.73,23.540001,707800,23.91,23.91,,
11/27/2010,24.16,24.18,23.67,569500,23.940001,23.940001,,
11/28/2010,23.82,23.9,23.15,512000,23.629999,23.629999,,
11/29/2010,23.440001,23.67,23.219999,544000,23.459999,23.459999,,
11/30/2010,23.26,23.26,22.879999,895100,23.07,23.07,,
12/1/2010,23.780001,25.25,23,3504900,24.49,24.49,,
12/2/2010,24.129999,24.18,22.790001,2635600,23.209999,23.209999,,
12/3/2010,23.26,23.639999,22.809999,836100,23.219999,23.219999,,
12/4/2010,23.25,23.75,22.940001,634500,23.25,23.25,,
12/5/2010,23.639999,24.139999,23.049999,1283100,23.08,23.08,,
12/6/2010,23.01,23.17,22.559999,953700,22.84,22.84,,
12/7/2010,23.1,24.969999,23.07,4115100,24.73,24.73,,
12/8/2010,24.629999,25.49,23.549999,2618400,23.6,23.6,,
12/9/2010,23.33,23.49,22.959999,2370700,23.18,23.18,,
12/10/2010,22.879999,23,21.780001,2064600,21.870001,21.870001,,
12/11/2010,22.18,22.5,21.110001,1605600,21.83,21.83,,
12/12/2010,21.780001,22.58,21.5,1055300,22.530001,22.530001,,
12/13/2010,22.809999,23.85,22.690001,1346300,23.610001,23.610001,,
12/14/2010,23.74,24.1,23.5,1051200,23.889999,23.889999,,
12/15/2010,24.049999,24.32,23.700001,1106400,23.940001,23.940001,,
12/16/2010,23.82,24.280001,23.73,663300,24.02,24.02,,
12/17/2010,24.48,24.790001,24.059999,640200,24.360001,24.360001,,
12/18/2010,24.48,24.99,23.780001,1580100,24.950001,24.950001,,
12/19/2010,24.93,25.4,24.700001,2033600,24.940001,24.940001,,
12/20/2010,24.6,24.959999,24,1399900,24.66,24.66,,
12/21/2010,24.66,24.99,24.27,924800,24.719999,24.719999,,
12/22/2010,24.440001,24.49,23.73,1017000,24.01,24.01,,
12/23/2010,23.85,24.25,23.530001,930800,24.07,24.07,,
12/24/2010,23.82,24,23.200001,1166000,23.25,23.25,,
12/25/2010,22.200001,22.959999,21.799999,1318800,22.950001,22.950001,,
12/26/2010,22.860001,23.25,22.690001,1169700,22.82,22.82,,
12/27/2010,23.24,23.43,22.639999,922600,22.809999,22.809999,,
12/28/2010,23.190001,23.190001,22.51,687900,22.959999,22.959999,,
12/29/2010,23.049999,23.049999,22.540001,411700,22.73,22.73,,
12/30/2010,22.73,22.860001,22,582900,22.190001,22.190001,,
12/31/2010,22.110001,22.27,21.77,422800,22.209999,22.209999,,
1/1/2011,22.139999,22.379999,21.98,462200,22.33,22.33,,
1/2/2011,22.43,23,22.4,568000,22.75,22.75,,
1/3/2011,22.700001,23.540001,22.549999,1058100,23.25,23.25,,
1/4/2011,23.299999,24,23.209999,755400,23.92,23.92,,
1/5/2011,24.110001,24.49,23.01,1223300,23.709999,23.709999,,
1/6/2011,26.549999,28.709999,26.5,11517800,27.75,27.75,,
1/7/2011,27.450001,28.18,26.57,2864800,26.66,26.66,,
1/8/2011,26.83,27,25.23,2609300,25.83,25.83,,
1/9/2011,25.9,27,25.690001,3180900,26.700001,26.700001,,
1/10/2011,26.99,27.01,25.799999,1288300,26.49,26.49,,
1/11/2011,26.85,27.940001,26.450001,2810300,27.24,27.24,,
1/12/2011,27.58,27.6,26.360001,1946400,26.49,26.49,,
1/13/2011,26.469999,26.530001,25.02,1369400,25.27,25.27,,
1/14/2011,25.08,25.209999,24.299999,1357400,24.65,24.65,,
1/15/2011,25.129999,25.690001,24.809999,1211500,24.93,24.93,,
1/16/2011,24.870001,25.280001,24.200001,983400,25.139999,25.139999,,
1/17/2011,25.65,26.18,25.41,943500,25.58,25.58,,
1/18/2011,25.129999,25.620001,24.360001,1033900,25.030001,25.030001,,
1/19/2011,25.26,25.26,24.65,548700,25.16,25.16,,
1/20/2011,25.700001,26.09,25.299999,837200,25.75,25.75,,
1/21/2011,25.85,26.98,25.59,1386100,26.74,26.74,,
1/22/2011,26.700001,26.73,25.969999,800900,26.389999,26.389999,,
1/23/2011,26.66,27.25,26.309999,1400000,26.93,26.93,,
1/24/2011,26.93,27.360001,26.629999,996900,27.08,27.08,,
1/25/2011,27.07,27.690001,26.719999,1600000,27.66,27.66,,
1/26/2011,27.690001,27.870001,27.42,726000,27.6,27.6,,
1/27/2011,27.6,27.799999,27.059999,784600,27.450001,27.450001,,
1/28/2011,27.379999,27.389999,26.5,913900,26.870001,26.870001,,
1/29/2011,26.780001,27,25.75,1044500,26.690001,26.690001,,
1/30/2011,27.200001,27.440001,26.17,1218500,26.440001,26.440001,,
1/31/2011,26.9,27.700001,26.620001,981700,27.120001,27.120001,,
2/1/2011,27,28,26.85,916400,27.91,27.91,,
2/2/2011,28.24,28.950001,27.91,1535300,28.33,28.33,,
2/3/2011,28.200001,28.299999,26.92,962500,27.07,27.07,,
2/4/2011,27.07,27.74,26.65,628000,27.67,27.67,,
2/5/2011,28,28.190001,27.299999,661500,27.549999,27.549999,,
2/6/2011,27.99,27.99,26.549999,755700,26.6,26.6,,
2/7/2011,27,27,25.719999,1234200,25.959999,25.959999,,
2/8/2011,26.1,26.469999,25.52,729500,26.35,26.35,,
2/9/2011,27.030001,28.440001,26.6,2655100,28.200001,28.200001,,
2/10/2011,28.26,28.280001,27.35,842500,27.969999,27.969999,,
2/11/2011,27.620001,27.620001,26.620001,863600,26.82,26.82,,
2/12/2011,27.02,27.5,26.6,613700,26.719999,26.719999,,
2/13/2011,26.9,29.01,26.17,4693100,28.98,28.98,,
2/14/2011,28.82,29.76,28.1,3336900,29.48,29.48,,
2/15/2011,29.540001,29.67,28.82,1687100,29.549999,29.549999,,
2/16/2011,29.690001,30.280001,29.549999,3290500,30.139999,30.139999,,
2/17/2011,30,30.1,28.379999,1529900,28.52,28.52,,
2/18/2011,28.52,29.32,28.51,986300,28.76,28.76,,
2/19/2011,29.950001,31.5,29.5,6209200,30.129999,30.129999,,
2/20/2011,30.1,30.129999,28.26,2331100,28.700001,28.700001,,
2/21/2011,28.940001,29.389999,28.26,1222100,28.370001,28.370001,,
2/22/2011,28.440001,28.6,27.02,1695900,27.120001,27.120001,,
2/23/2011,27.43,28.1,27.1,1603200,27.620001,27.620001,,
2/24/2011,27.52,28.299999,27.35,1566600,27.860001,27.860001,,
2/25/2011,28.07,28.879999,27.879999,1713400,28.43,28.43,,
2/26/2011,28.540001,29.700001,28.52,1573400,28.6,28.6,,
2/27/2011,28.440001,28.450001,27.07,1345000,27.32,27.32,,
2/28/2011,27.67,28,25.74,1842200,26.5,26.5,,
3/1/2011,26.870001,27.700001,26.139999,1714000,26.5,26.5,,
3/2/2011,26.290001,26.459999,25.5,1537800,26.01,26.01,,
3/3/2011,26.24,27.73,26,1496000,27.530001,27.530001,,
3/4/2011,27.370001,28.25,27.1,1475600,27.209999,27.209999,,
3/5/2011,27.200001,27.719999,26.209999,1170000,27.709999,27.709999,,
3/6/2011,27.639999,27.969999,27.26,3608500,27.57,27.57,,
3/7/2011,27.73,28.280001,27.309999,1809400,27.459999,27.459999,,
3/8/2011,27.790001,28.25,27.67,889200,28.110001,28.110001,,
3/9/2011,28.5,29.09,28.07,1461800,28.290001,28.290001,,
3/10/2011,28.5,29.33,28.4,946700,29.129999,29.129999,,
3/11/2011,29.07,29.6,28.799999,854900,29.02,29.02,,
3/12/2011,29.02,29.52,28.709999,996000,29.139999,29.139999,,
3/13/2011,29.139999,29.139999,28.549999,926900,28.959999,28.959999,,
3/14/2011,29.139999,30,29.01,1327900,29.73,29.73,,
3/15/2011,29.889999,29.889999,28.59,1240600,28.809999,28.809999,,
3/16/2011,28.4,28.530001,28,975800,28.35,28.35,,
3/17/2011,28.370001,29.09,28,1045400,28.17,28.17,,
3/18/2011,28.43,29.030001,27.9,1066000,28.639999,28.639999,,
3/19/2011,28.530001,28.959999,27.25,1159000,27.610001,27.610001,,
3/20/2011,27.790001,27.83,27.4,709000,27.58,27.58,,
3/21/2011,27.34,27.450001,26.629999,851900,27.23,27.23,,
3/22/2011,27.58,28.110001,27.540001,1026100,27.889999,27.889999,,
3/23/2011,28,30.440001,27.799999,3048300,28.690001,28.690001,,
3/24/2011,28.91,29.16,28.1,1011500,28.700001,28.700001,,
3/25/2011,28.700001,29.540001,28.549999,583500,29.290001,29.290001,,
3/26/2011,29.01,29.25,28.440001,673300,28.49,28.49,,
3/27/2011,28.309999,28.77,27.969999,760600,28,28,,
3/28/2011,28.5,28.5,27.51,958500,27.639999,27.639999,,
3/29/2011,27.6,28.549999,27.540001,938700,28.17,28.17,,
3/30/2011,27.799999,28.4,27.5,948200,28.17,28.17,,
3/31/2011,28.67,28.98,28.209999,1164900,28.77,28.77,,
4/1/2011,28.690001,29.200001,27.27,1549400,27.34,27.34,,
4/2/2011,27.5,27.83,26.34,1794500,27.200001,27.200001,,
4/3/2011,26.51,26.889999,24.67,3064500,24.75,24.75,,
4/4/2011,24.99,25.379999,22.83,1964400,24.24,24.24,,
4/5/2011,23.1,24.440001,23.1,2608500,23.639999,23.639999,,
4/6/2011,24.15,25.450001,23.700001,1333400,25.059999,25.059999,,
4/7/2011,25.440001,25.440001,23.629999,1564200,23.82,23.82,,
4/8/2011,24.040001,25.75,24,836500,25.299999,25.299999,,
4/9/2011,25.6,27.139999,25.360001,1009100,26.309999,26.309999,,
4/10/2011,26.620001,26.75,25.93,738600,26.23,26.23,,
4/11/2011,26.129999,26.540001,25.83,537700,26.1,26.1,,
4/12/2011,26.389999,26.65,25.51,643700,25.83,25.83,,
4/13/2011,25,25.15,23.469999,1056600,24.26,24.26,,
4/14/2011,23.860001,24.219999,22,1375300,22.299999,22.299999,,
4/15/2011,23.110001,23.799999,21.68,986100,21.950001,21.950001,,
4/16/2011,21.93,23.110001,21.5,869000,22.959999,22.959999,,
4/17/2011,23.1,23.93,22.83,684300,23.870001,23.870001,,
4/18/2011,23.870001,23.870001,22.9,679800,23.110001,23.110001,,
4/19/2011,22.709999,23.950001,22.07,761800,23.73,23.73,,
4/20/2011,24.219999,24.85,24.02,803400,24.709999,24.709999,,
4/21/2011,24.5,24.77,24.09,366200,24.629999,24.629999,,
4/22/2011,24.799999,25.5,24.280001,823800,24.74,24.74,,
4/23/2011,24.66,24.870001,23.84,848100,24,24,,
4/24/2011,23.66,23.99,22.68,769900,23.07,23.07,,
4/25/2011,22.5,23.200001,22.290001,809800,22.940001,22.940001,,
4/26/2011,23.389999,24,23.280001,459200,23.84,23.84,,
4/27/2011,23.58,24.030001,23.280001,505700,23.610001,23.610001,,
4/28/2011,23.370001,23.57,22.549999,669300,22.969999,22.969999,,
4/29/2011,22.5,23.309999,22.450001,566600,22.879999,22.879999,,
4/30/2011,23.01,24.1,22.75,726500,24.08,24.08,,
5/1/2011,24.25,24.84,23.790001,830800,24.34,24.34,,
5/2/2011,24.58,24.93,24.33,562600,24.82,24.82,,
5/3/2011,24.780001,25.84,24.49,1417100,25.799999,25.799999,,
5/4/2011,24.950001,25.809999,23.82,1157400,25.77,25.77,,
5/5/2011,25.98,26.6,25.67,1180400,26.01,26.01,,
5/6/2011,25.950001,26.950001,25.700001,987600,25.85,25.85,,
5/7/2011,25.639999,26.110001,24.879999,775800,25.629999,25.629999,,
5/8/2011,25.49,26.620001,25.35,1156400,26.379999,26.379999,,
5/9/2011,26.52,26.52,24.9,934800,25.52,25.52,,
5/10/2011,26,26.99,25.57,674500,26.190001,26.190001,,
5/11/2011,26,26.5,24.51,723300,24.59,24.59,,
5/12/2011,25.719999,25.82,23.549999,929600,24.120001,24.120001,,
5/13/2011,24.799999,24.889999,23.49,1336100,24.389999,24.389999,,
5/14/2011,24.950001,25,23.25,1023200,23.73,23.73,,
5/15/2011,23.290001,24.32,22.93,1200300,23.66,23.66,,
5/16/2011,24.030001,25.84,23.35,1229500,25.370001,25.370001,,
5/17/2011,25.370001,27.6,25.02,1769100,26.959999,26.959999,,
5/18/2011,26.98,27.6,26.049999,1311600,26.99,26.99,,
5/19/2011,27.309999,28.18,27,923500,27.879999,27.879999,,
5/20/2011,27.51,27.77,27.09,575700,27.610001,27.610001,,
5/21/2011,27.25,28,27.200001,1123400,27.799999,27.799999,,
5/22/2011,27.629999,28.469999,27.440001,1043500,27.940001,27.940001,,
5/23/2011,28,28.549999,27.26,1400500,28.049999,28.049999,,
5/24/2011,27.860001,28,27.26,754500,27.42,27.42,,
5/25/2011,27.299999,28.43,26.709999,999700,28.34,28.34,,
5/26/2011,28.02,28.059999,27.299999,792900,27.57,27.57,,
5/27/2011,27.440001,27.469999,27,999700,27.34,27.34,,
5/28/2011,27.4,28.299999,27.01,1142600,28.030001,28.030001,,
5/29/2011,27.870001,28.889999,27.75,940600,28.549999,28.549999,,
5/30/2011,28.23,28.860001,27.799999,654400,28.25,28.25,,
5/31/2011,28.190001,28.370001,27.4,510500,27.98,27.98,,
6/1/2011,28.34,28.950001,28.110001,869400,28.76,28.76,,
6/2/2011,28.5,30,28.01,1264000,29.870001,29.870001,,
6/3/2011,29.5,29.51,28.75,1134000,29.370001,29.370001,,
6/4/2011,28.389999,28.92,28,635200,28.879999,28.879999,,
6/5/2011,29,29.26,28.25,875300,28.709999,28.709999,,
6/6/2011,30,32.490002,29.530001,2509700,32.459999,32.459999,,
6/7/2011,31.459999,32.400002,30.51,3032900,32.310001,32.310001,,
6/8/2011,31.639999,32,30.75,1266300,31.27,31.27,,
6/9/2011,31.370001,32,30.719999,1167900,31.84,31.84,,
6/10/2011,30.870001,31.49,30.299999,953700,30.879999,30.879999,,
6/11/2011,30.940001,31.5,30.65,747300,31.33,31.33,,
6/12/2011,31.9,34.5,30.57,3868300,33.639999,33.639999,,
6/13/2011,33,33.540001,32.619999,1325700,33.220001,33.220001,,
6/14/2011,32.919998,34.400002,32.73,891000,33.93,33.93,,
6/15/2011,33.48,35,33.400002,1833200,34.939999,34.939999,,
6/16/2011,34.5,34.900002,33.189999,1349300,33.68,33.68,,
6/17/2011,33.639999,34.110001,32.540001,902800,32.599998,32.599998,,
6/18/2011,32.439999,32.439999,31.049999,1031600,31.76,31.76,,
6/19/2011,31.76,32.790001,31.049999,732600,32.07,32.07,,
6/20/2011,31.76,32.049999,31.25,451800,31.450001,31.450001,,
6/21/2011,31.549999,32.41,31.08,239600,31.66,31.66,,
6/22/2011,32,33.279999,31.809999,681200,32.560001,32.560001,,
6/23/2011,32.490002,33.07,31.629999,591100,31.75,31.75,,
6/24/2011,32.5,32.93,32.220001,760300,32.740002,32.740002,,
6/25/2011,32.57,33.990002,31.98,1030200,32.599998,32.599998,,
6/26/2011,32.830002,33.689999,32.400002,802800,33.299999,33.299999,,
6/27/2011,33.529999,35,33.43,1160100,34.419998,34.419998,,
6/28/2011,34.200001,34.98,34.029999,951800,34.869999,34.869999,,
6/29/2011,34.630001,34.889999,33.799999,674300,34.189999,34.189999,,
6/30/2011,30.84,31.65,29.610001,3305800,30.889999,30.889999,,
7/1/2011,30.540001,31.120001,30.280001,1239500,31.040001,31.040001,,
7/2/2011,30.440001,30.620001,30.02,758700,30.41,30.41,,
7/3/2011,30.57,30.93,28.91,994100,29.450001,29.450001,,
7/4/2011,29.5,29.68,28,1163900,28.530001,28.530001,,
7/5/2011,28.67,29.17,28.120001,700300,28.620001,28.620001,,
7/6/2011,28.790001,28.93,27.98,1029700,28,28,,
7/7/2011,28.09,28.5,27.370001,987000,27.75,27.75,,
7/8/2011,28.049999,28.450001,27.719999,843300,27.9,27.9,,
7/9/2011,27.91,28.07,26.030001,1705500,27.57,27.57,,
7/10/2011,27.6,28.049999,27.299999,1009400,27.77,27.77,,
7/11/2011,28,28,27.52,591400,27.9,27.9,,
7/12/2011,27.66,28.77,27.639999,777500,28.57,28.57,,
7/13/2011,28.99,29.24,28.040001,575200,28.51,28.51,,
7/14/2011,28.59,29.34,28.549999,488200,28.73,28.73,,
7/15/2011,28.49,28.98,28.25,339800,28.559999,28.559999,,
7/16/2011,28.940001,29.5,27.65,928100,28.08,28.08,,
7/17/2011,28.209999,28.67,27.5,630100,27.709999,27.709999,,
7/18/2011,27.76,27.93,26.85,1005500,27.120001,27.120001,,
7/19/2011,27.200001,27.790001,26.41,986300,26.91,26.91,,
7/20/2011,27,27.49,26.120001,897000,27.25,27.25,,
7/21/2011,27.440001,27.76,27.25,671800,27.620001,27.620001,,
7/22/2011,27.620001,28.379999,27.299999,672300,28.23,28.23,,
7/23/2011,28.48,28.620001,27.809999,729300,28.25,28.25,,
7/24/2011,28.4,28.5,22.639999,5500400,22.790001,22.790001,,
7/25/2011,26.620001,27.34,26.41,4651600,26.6,26.6,,
7/26/2011,26.690001,26.879999,26.25,1260200,26.809999,26.809999,,
7/27/2011,27.190001,27.74,26.610001,1246300,26.76,26.76,,
7/28/2011,26.9,27,26.4,662300,26.6,26.6,,
7/29/2011,26.809999,27.209999,26.6,594600,26.77,26.77,,
7/30/2011,26.629999,27.68,26.440001,858000,27.42,27.42,,
7/31/2011,27.27,28.01,27.049999,611200,27.969999,27.969999,,
8/1/2011,28.07,29.58,28,1271100,28.940001,28.940001,,
8/2/2011,28.5,29.719999,28.5,748400,29.33,29.33,,
8/3/2011,29.49,29.610001,28.530001,729000,29.57,29.57,,
8/4/2011,29.9,30,28.870001,956400,29.07,29.07,,
8/5/2011,29.07,29.700001,29,523200,29.58,29.58,,
8/6/2011,29.719999,30.879999,29.610001,805700,30.25,30.25,,
8/7/2011,30.41,31.33,30.25,764500,31.15,31.15,,
